狐皮	青丘山1-2	一品武力丹 一品法术丹

落英花	幽花林1	一品绝技丹 一品法术丹 二品武力丹

蜘蛛牙	幽花林2-3	一品武力丹 一品绝技丹 二品绝技丹

黑水珠	水下宫殿4-9	一品葫芦 二品葫芦 三品葫芦 六品法术丹

胭脂	须臾幻境3-4	二品法术丹

雷兽角	封神陵2-3	三品武力丹

露凝草	灵山2-3,5-7	四品武力丹 四品法术丹 五品武力丹 五品绝技丹

乌舌兰	灵山1-3	四品武力丹 四品法术丹 五品武力丹 五品绝技丹

玉珊瑚	水下宫殿1-3	六品武力丹 六品绝技丹

天魔果	玄冥界5-9	六品武力丹，六品绝技丹

念珠	葬剑谷1-5	逍遥弓 逍遥剑 逍遥拳套 逍遥杖 逍遥戟 逍遥战魂 逍遥元神 三品绝技丹 三品法术丹

玄天石	封神陵1-6	逍遥弓 逍遥剑 逍遥拳套 逍遥杖 逍遥戟 逍遥战魂 逍遥元神 三品法术丹

象龙角	封神陵4-5	逍遥弓 逍遥剑 逍遥拳套 逍遥杖 逍遥戟 逍遥战魂 逍遥元神 三品武力丹 三品绝技丹 三品法术丹

不醉石	须臾幻境1-2	逍遥弓 逍遥剑 逍遥拳套 逍遥杖 逍遥戟 逍遥战魂 逍遥元神 三品法术丹

蓝宝石	须臾幻境5-6	逍遥法冠 逍遥法袍 逍遥战靴 逍遥护符 三品绝技丹 三品法术丹

紫幽羽	封神陵6	逍遥法冠 逍遥法袍 逍遥战靴 逍遥护符

绿珠	须臾幻境7-8	逍遥法冠 逍遥法袍 逍遥战靴 逍遥护符 三品武力丹

太阴鼎	玄暝界1-9	朱雀拳套 朱雀剑 朱雀弓 朱雀枪 朱雀杖 朱雀战魂 朱雀元神 六品武力丹 六品法术丹

魔木鼎	大荒漠城1-9	朱雀拳套 朱雀剑 朱雀弓 朱雀枪 朱雀杖 朱雀法冠 朱雀法袍 朱雀战靴 朱雀护符 朱雀战魂 朱雀元神 五品武力丹 五品绝技丹 五品法术丹

炎石	烈焰洞1-7	 朱雀拳套 朱雀剑 朱雀弓 朱雀枪 朱雀杖 朱雀战魂 朱雀元神 四品武力丹 四品绝技丹 四品法术丹

冰魄珠	玉都峰1-9	朱雀拳套 朱雀剑 朱雀弓 朱雀枪 朱雀杖 朱雀法冠 朱雀法袍 朱雀战靴 朱雀护符 朱雀战魂 朱雀元神 五品武力丹 五品绝技丹 五品法术丹 六品绝技丹

玄阴石	炼妖塔7-9	朱雀拳套 朱雀剑 朱雀弓 朱雀枪 朱雀杖 朱雀战魂 朱雀元神 四品绝技丹 四品法术丹

凤凰羽	灵山8	朱雀法冠 朱雀法袍 朱雀战靴 朱雀护符

血莲花	炼妖塔1-6	朱雀法冠 朱雀法袍 朱雀战靴 朱雀护符

天雷珠	虚天殿6	玄奇拳套 玄奇剑 玄奇弓 玄奇棍 玄奇杖 玄奇战魂 玄奇元神 玄奇法冠 玄奇法袍 玄奇战靴 玄奇护符 六品武力丹 六品法术丹

至尊鼎	虚天殿7-8	玄奇拳套玄奇剑 玄奇弓 玄奇棍 玄奇杖 玄奇战魂 玄奇元神 玄奇法冠 玄奇法袍 玄奇战靴 玄奇护符

魔火邪珠	蜀山秘道7	玄奇拳套 玄奇剑 玄奇弓 玄奇棍 玄奇杖 玄奇战魂 玄奇元神 四品葫芦 五品葫芦

魔玉	蜀山秘道1-4	玄奇拳套 玄奇剑 玄奇弓 玄奇棍 玄奇杖 玄奇战魂 玄奇元神 四品葫芦

陨石	扶桑神树1	玄奇拳套 玄奇剑 玄奇弓 玄奇棍 玄奇杖 玄奇战魂 玄奇元神 倚天拳套 倚天剑 倚天弓 倚天大刀 倚天杖 倚天战魂 倚天元神 倚天法冠 倚天法袍 倚天战靴 倚天护符 五品葫芦

仙树枝	虚天殿2	玄奇法冠 玄奇法袍 玄奇战靴 玄奇护符 六品绝技丹

地府风灯	幽冥地府4-9	玄奇法冠 玄奇法袍 玄奇战靴 玄奇护符 一品葫芦 二品葫芦 三品葫芦 六品武力丹 六品绝技丹 六品法术丹

黑白珠	水下宫殿7	玄奇法冠 玄奇法袍 玄奇战靴 玄奇护符 六品武力丹 六品绝技丹 六品法术丹

地火胆	大裂谷1	倚天拳套 倚天剑 倚天弓 倚天大刀 倚天杖 倚天战魂 倚天元神 倚天法冠 倚天法袍 倚天战靴 倚天护符 四品葫芦 五品葫芦

狼尾草	大裂谷5	倚天拳套 倚天剑 倚天弓 倚天大刀 倚天杖 倚天战魂 倚天元神 倚天法冠 倚天法袍 倚天战靴 倚天护符 四品葫芦 五品葫芦

鬼树枝	扶桑神树10	倚天拳套 倚天剑 倚天弓 倚天大刀 倚天杖 倚天战魂 倚天元神 倚天法冠 倚天法袍 倚天战靴 倚天护符 五品葫芦

天心花	蜀山秘道11	倚天拳套 倚天剑 倚天弓 倚天大刀 倚天杖 倚天战魂 倚天元神 倚天法冠 倚天法袍 倚天战靴 倚天护符

灵果	冰晶河9	赤霄拳套 赤霄剑 赤霄弓 赤霄大刀 赤霄杖 赤霄法冠 赤霄法袍 赤霄战靴 赤霄护符

辟邪玉	火焰山1	赤霄拳套 赤霄剑 赤霄弓 赤霄大刀 赤霄杖 赤霄战魂 赤霄元神 赤霄法冠 赤霄法袍 赤霄战靴 赤霄护符

麒麟角	火焰山13	赤霄拳套 赤霄剑 赤霄弓 赤霄大刀 赤霄杖 赤霄战魂 赤霄元神 赤霄法冠 赤霄法袍 赤霄战靴 赤霄护符

紫火花	火焰山11	赤霄拳套 赤霄剑 赤霄弓 赤霄大刀 赤霄杖 赤霄战魂 赤霄元神 赤霄法冠 赤霄法袍 赤霄战靴 赤霄护符

九宫瓶	玄净寺	赤霄战魂 赤霄元神 赤霄法冠 赤霄法袍 赤霄战靴 赤霄护符

狼骨	冰晶河1	赤霄拳套 赤霄剑 赤霄弓 赤霄大刀 赤霄杖

黑流玉	玄净寺13 玄净寺14	赤霄拳战魂 赤霄元神

玉杯	 蓬莱城天境(2)	天罡拳套 天罡剑 天罡弓 天罡锤 天罡杖 天罡战魂 天罡元神 天罡法冠 天罡法袍 天罡战靴 天罡护符

